,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD
Datetime,,,,,,,,,,,,
2023-04-15 00:00:00+00:00,30480.99609375,2100.1474609375,30480.99609375,2100.1474609375,30491.595703125,2101.949462890625,30480.99609375,2100.1474609375,30490.75,2101.616455078125,0,0
2023-04-15 00:05:00+00:00,30460.123046875,2096.448486328125,30460.123046875,2096.448486328125,30490.123046875,2099.500244140625,30460.123046875,2096.448486328125,30478.814453125,2097.87646484375,0,0
2023-04-15 00:10:00+00:00,30472.021484375,2098.08642578125,30472.021484375,2098.08642578125,30474.234375,2098.091064453125,30453.552734375,2096.598876953125,30455.9140625,2096.772216796875,12341248,10652672
2023-04-15 00:15:00+00:00,30470.11328125,2098.278564453125,30470.11328125,2098.278564453125,30475.455078125,2098.599609375,30460.046875,2097.293701171875,30469.49609375,2097.68408203125,0,13334528
2023-04-15 00:20:00+00:00,30510.15234375,2101.131103515625,30510.15234375,2101.131103515625,30510.15234375,2101.131103515625,30470.109375,2098.2734375,30470.109375,2098.2734375,18935808,9414656
2023-04-15 00:25:00+00:00,30601.740234375,2106.983154296875,30601.740234375,2106.983154296875,30601.740234375,2106.983154296875,30510.990234375,2102.169921875,30510.990234375,2102.169921875,135786496,86990848
2023-04-15 00:30:00+00:00,30542.77734375,2102.908203125,30542.77734375,2102.908203125,30543.46484375,2102.908203125,30524.697265625,2100.450439453125,30543.46484375,2101.97607421875,0,0
2023-04-15 00:35:00+00:00,30446.775390625,2089.207763671875,30446.775390625,2089.207763671875,30527.580078125,2101.388916015625,30446.775390625,2089.207763671875,30527.54296875,2101.388916015625,0,0
2023-04-15 00:40:00+00:00,30446.990234375,2090.475341796875,30446.990234375,2090.475341796875,30462.666015625,2093.426025390625,30441.103515625,2089.830810546875,30453.912109375,2092.438720703125,0,0
2023-04-15 00:45:00+00:00,30435.583984375,2090.573486328125,30435.583984375,2090.573486328125,30441.3203125,2090.573486328125,30418.9921875,2086.73974609375,30418.9921875,2086.73974609375,0,0
2023-04-15 00:50:00+00:00,30422.564453125,2089.353271484375,30422.564453125,2089.353271484375,30445.505859375,2091.003662109375,30422.564453125,2088.957275390625,30445.505859375,2091.003662109375,0,0
2023-04-15 00:55:00+00:00,30419.42578125,2088.630126953125,30419.42578125,2088.630126953125,30435.923828125,2090.2373046875,30419.42578125,2088.630126953125,30434.76171875,2090.2373046875,0,0
2023-04-15 01:00:00+00:00,30395.15625,2087.06982421875,30395.15625,2087.06982421875,30420.234375,2088.802978515625,30365.8203125,2083.91455078125,30403.822265625,2087.714599609375,0,0
2023-04-15 01:05:00+00:00,30389.998046875,2087.54833984375,30389.998046875,2087.54833984375,30391.455078125,2087.811279296875,30387.35546875,2086.97314453125,30389.87890625,2087.10107421875,0,0
2023-04-15 01:10:00+00:00,30357.060546875,2083.506103515625,30357.060546875,2083.506103515625,30372.90234375,2085.419677734375,30357.060546875,2083.506103515625,30372.90234375,2085.419677734375,0,0
2023-04-15 01:15:00+00:00,30366.03125,2083.0966796875,30366.03125,2083.0966796875,30394.353515625,2086.305419921875,30366.03125,2083.0966796875,30370.5390625,2084.428955078125,0,0
2023-04-15 01:20:00+00:00,30329.052734375,2077.695068359375,30329.052734375,2077.695068359375,30360.271484375,2082.123046875,30329.052734375,2077.695068359375,30350.427734375,2080.618408203125,0,0
2023-04-15 01:25:00+00:00,30353.71875,2078.978271484375,30353.71875,2078.978271484375,30356.8984375,2079.496826171875,30332.740234375,2076.5107421875,30332.740234375,2076.5107421875,0,0
2023-04-15 01:30:00+00:00,30365.130859375,2080.6845703125,30365.130859375,2080.6845703125,30373.146484375,2080.936767578125,30352.83984375,2078.919921875,30352.83984375,2078.919921875,0,0
2023-04-15 01:35:00+00:00,30392.3359375,2084.387939453125,30392.3359375,2084.387939453125,30392.3359375,2084.387939453125,30372.3203125,2081.63525390625,30372.3203125,2081.63525390625,0,0
2023-04-15 01:40:00+00:00,30390.5546875,2084.4326171875,30390.5546875,2084.4326171875,30392.734375,2084.7724609375,30390.5546875,2084.20849609375,30392.453125,2084.20849609375,0,0
2023-04-15 01:45:00+00:00,30426.310546875,2086.232421875,30426.310546875,2086.232421875,30426.310546875,2086.232421875,30409.513671875,2085.101318359375,30409.513671875,2085.101318359375,0,0
2023-04-15 01:50:00+00:00,30422.2109375,2085.61376953125,30422.2109375,2085.61376953125,30423.046875,2086.125732421875,30418.6796875,2085.5361328125,30423.046875,2086.125732421875,0,0
2023-04-15 01:55:00+00:00,30412.796875,2084.84033203125,30412.796875,2084.84033203125,30424.91015625,2085.56298828125,30411.109375,2084.84033203125,30420.794921875,2085.44873046875,0,0
2023-04-15 02:00:00+00:00,30448.22265625,2088.66650390625,30448.22265625,2088.66650390625,30448.22265625,2088.66650390625,30396.859375,2083.8193359375,30396.859375,2083.8193359375,0,0
2023-04-15 02:05:00+00:00,30418.017578125,2086.4453125,30418.017578125,2086.4453125,30434.623046875,2087.577392578125,30417.6484375,2086.184326171875,30434.623046875,2087.283447265625,0,0
2023-04-15 02:10:00+00:00,30400.54296875,2083.978515625,30400.54296875,2083.978515625,30406.064453125,2084.319580078125,30400.54296875,2083.978515625,30402.6796875,2084.319580078125,0,0
