Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,131.37567433951537,131.46422533711976,124.72423776996894,127.33168029785156,143301900,0.0,0.0
2021-01-05,126.82007236001554,129.6243083906301,126.36745318851283,128.90602111816406,97664900,0.0,0.0
2021-01-06,125.66884157590341,128.94536419220955,124.35035782499233,124.56682586669922,155088000,0.0,0.0
2021-01-07,126.29857440258826,129.51606330830958,125.8066042646869,128.8174591064453,109578200,0.0,0.0
2021-01-08,130.30316249043628,130.49996249462166,128.1384975679886,129.9292755126953,105158200,0.0,0.0
2021-01-11,127.11521861314114,128.0794756670302,126.4362975702939,126.90858459472656,100384500,0.0,0.0
2021-01-12,126.43631366027657,127.607204881585,124.82265235885826,126.73149871826172,91951100,0.0,0.0
2021-01-13,126.69212088965998,129.33892214035455,126.4264678746066,128.7879180908203,88636800,0.0,0.0
2021-01-14,128.6993756062437,128.89616063500046,126.69212927721298,126.83972930908203,90221800,0.0,0.0
2021-01-15,126.71179797744222,128.1286740464908,124.96038589590538,125.09813690185547,111598500,0.0,0.0
2021-01-19,125.72786908236517,126.6429412138431,124.90136297335832,125.77706909179688,90757300,0.0,0.0
2021-01-20,126.59371881509395,130.36221066229746,126.4854848189804,129.9095916748047,104319500,0.0,0.0
2021-01-21,131.65120165441735,137.42692581926926,131.44456760654356,134.67189025878906,120150900,0.0,0.0
2021-01-22,134.09136169934152,137.60403522200843,132.85160252214237,136.83656311035156,114459400,0.0,0.0
2021-01-25,140.77232537348837,142.75987367939632,134.3471823399822,140.62472534179688,157611700,0.0,0.0
2021-01-26,141.29379110811487,141.98254611074316,139.0995940811042,140.86085510253906,98390600,0.0,0.0
2021-01-27,141.12652712342754,141.98256525486957,138.1550387094678,139.77853393554688,140843800,0.0,0.0
2021-01-28,137.27934933920977,139.70968298357386,134.50463059820004,134.88836669921875,142621100,0.0,0.0
2021-01-29,133.64858745443257,134.5439765612556,128.11884881946486,129.8407440185547,177523800,0.0,0.0
2021-02-01,131.60199696871769,133.20582424084392,128.82727849893377,131.98573303222656,106239800,0.0,0.0
2021-02-02,133.55017325883716,134.12086026588082,132.4481652528125,132.8220672607422,83305400,0.0,0.0
2021-02-03,133.57970361858875,133.58955262845603,131.46423839249303,131.7889404296875,89880900,0.0,0.0
2021-02-04,134.11102644779447,135.19335145121678,132.42848242362257,135.1835174560547,84183100,0.0,0.0
2021-02-05,135.34611298688395,135.4150838902321,133.87784620226603,134.76470947265625,75693800,0.205,0.0
2021-02-08,134.04538584941508,134.96182541091767,132.9515796195917,134.9125518798828,71297200,0.0,0.0
2021-02-09,134.62679689293046,135.86842392310567,133.8680415257935,134.02569580078125,76774200,0.0,0.0
2021-02-10,134.48879701526442,134.99136590442143,132.43914173386668,133.41470336914062,73046600,0.0,0.0
2021-02-11,133.91726346072855,134.40011995574235,131.81834959421113,133.15850830078125,64280000,0.0,0.0
2021-02-12,132.38989646611998,133.5526735489665,131.73952197766184,133.39500427246094,60145100,0.0,0.0
2021-02-16,133.51327331652192,134.02567594763306,130.85265295236155,131.246826171875,80576300,0.0,0.0
2021-02-17,129.3350978689708,130.29094703325774,127.58106879219358,128.9310760498047,97918500,0.0,0.0
2021-02-18,127.31501988212493,128.1033512044632,125.55114189299337,127.81758880615234,96856700,0.0,0.0
2021-02-19,128.33984703272935,128.80299109159074,126.92085374908321,127.97523498535156,87668800,0.0,0.0
2021-02-22,126.14238217330005,127.82744060370273,123.76754697573571,124.16171264648438,103916400,0.0,0.0
2021-02-23,121.95439002285727,124.86134761967558,116.66273360659771,124.02375030517578,158273000,0.0,0.0
2021-02-24,123.11717249137803,123.728122101551,120.44671132429932,123.52118682861328,111039900,0.0,0.0
2021-02-25,122.86097469025991,124.61500408099299,118.7813760458559,119.22480773925781,148199500,0.0,0.0
2021-02-26,120.80145002437663,123.0284794988073,119.43173025262858,119.49085998535156,164560400,0.0,0.0
2021-03-01,121.94454654417207,126.06356263927641,120.99855338830268,125.92560577392578,116307900,0.0,0.0
2021-03-02,126.5365490497668,126.8420238582679,123.18615229266737,123.29454803466797,102260900,0.0,0.0
2021-03-03,122.98908424453455,123.87595521362151,120.06241380559041,120.27920532226562,112966300,0.0,0.0
2021-03-04,119.973732888877,121.79674087884854,116.88940061434323,118.37736511230469,178155000,0.0,0.0
2021-03-05,119.21496119045676,120.16095433331215,115.85470790100779,119.6485366821289,153766600,0.0,0.0
2021-03-08,119.1656866236372,119.23466505476365,114.5145480731528,114.66236114501953,154376600,0.0,0.0
2021-03-09,117.29340585710345,120.27919834816758,117.0569094517548,119.32334899902344,129525800,0.0,0.0
2021-03-10,119.91460424875852,120.38759707112825,117.70727935074852,118.22955322265625,111943300,0.0,0.0
2021-03-11,120.75218862731502,121.4124117762622,119.49086454631606,120.18064880371094,103026500,0.0,0.0
2021-03-12,118.64340015779737,119.40216277146604,117.42149350595733,119.26420593261719,88105100,0.0,0.0
2021-03-15,119.6386846906925,122.19089411225971,118.66312294564601,122.18103790283203,92403800,0.0,0.0
2021-03-16,123.8660843491818,125.36391236823329,122.90038636671349,123.73798370361328,115227900,0.0,0.0
