Local time,Ask,Bid,AskVolume,BidVolume
19.08.2024 00:00:15.808 GMT+0200,1.2946,1.29399,0.22,1.21
19.08.2024 00:00:15.910 GMT+0200,1.29461,1.29406,0.22,0.9
19.08.2024 00:00:16.319 GMT+0200,1.2946,1.2940500000000001,0.22,0.9
19.08.2024 00:00:16.421 GMT+0200,1.29461,1.2941200000000002,0.22,0.9
19.08.2024 00:00:16.473 GMT+0200,1.2946,1.29403,0.22,0.9
19.08.2024 00:00:16.575 GMT+0200,1.2945900000000001,1.29399,0.9,0.31
19.08.2024 00:00:16.678 GMT+0200,1.2945900000000001,1.29407,0.9,0.9
19.08.2024 00:00:16.780 GMT+0200,1.2945900000000001,1.2940200000000002,0.9,0.9
19.08.2024 00:00:16.832 GMT+0200,1.2945700000000002,1.29401,0.9,0.9
19.08.2024 00:00:16.884 GMT+0200,1.2945700000000002,1.29399,0.9,0.9
19.08.2024 00:00:17.088 GMT+0200,1.2945700000000002,1.294,0.9,0.9
19.08.2024 00:00:17.543 GMT+0200,1.29458,1.294,0.9,0.9
19.08.2024 00:00:17.902 GMT+0200,1.2946,1.294,0.22,1.8
19.08.2024 00:00:20.329 GMT+0200,1.2946,1.2940500000000001,0.22,0.9
19.08.2024 00:00:20.431 GMT+0200,1.2946,1.294,0.22,0.9
19.08.2024 00:00:21.296 GMT+0200,1.2946,1.29404,0.22,0.9
19.08.2024 00:00:21.398 GMT+0200,1.29461,1.29406,0.22,0.45
19.08.2024 00:00:21.654 GMT+0200,1.2946,1.2940500000000001,0.22,0.45
19.08.2024 00:00:21.756 GMT+0200,1.2946,1.29406,0.22,0.9
19.08.2024 00:00:21.808 GMT+0200,1.2945600000000002,1.29406,0.9,0.9
19.08.2024 00:00:21.859 GMT+0200,1.2946,1.29406,0.22,0.9
19.08.2024 00:00:22.014 GMT+0200,1.2946,1.2940500000000001,0.9,0.9
19.08.2024 00:00:22.066 GMT+0200,1.2945900000000001,1.29401,0.9,0.9
19.08.2024 00:00:22.269 GMT+0200,1.2945900000000001,1.29399,0.9,0.31
19.08.2024 00:00:22.472 GMT+0200,1.2945600000000002,1.29398,0.9,0.31
19.08.2024 00:00:23.032 GMT+0200,1.2946,1.29399,1.12,0.31
19.08.2024 00:00:23.084 GMT+0200,1.29461,1.29403,1.12,0.45
19.08.2024 00:00:23.288 GMT+0200,1.2946,1.2940500000000001,0.22,0.45
19.08.2024 00:00:24.807 GMT+0200,1.2946,1.29408,0.22,0.9
19.08.2024 00:00:25.112 GMT+0200,1.2946,1.29409,0.22,0.9
19.08.2024 00:00:25.213 GMT+0200,1.2946,1.2940500000000001,0.22,1.35
19.08.2024 00:00:26.327 GMT+0200,1.2946,1.29409,0.22,0.45
19.08.2024 00:00:26.429 GMT+0200,1.2946,1.29414,0.22,0.9
19.08.2024 00:00:26.837 GMT+0200,1.2946,1.2941,0.22,0.9
19.08.2024 00:00:30.269 GMT+0200,1.2946,1.2940500000000001,0.22,0.9
19.08.2024 00:00:30.777 GMT+0200,1.2946,1.29399,0.22,0.31
19.08.2024 00:00:30.930 GMT+0200,1.29458,1.29399,0.9,0.31
19.08.2024 00:00:31.052 GMT+0200,1.2945,1.29403,0.9,0.9
19.08.2024 00:00:31.262 GMT+0200,1.29451,1.29406,0.9,0.45
19.08.2024 00:00:31.517 GMT+0200,1.29449,1.2941,0.9,0.9
19.08.2024 00:00:31.825 GMT+0200,1.29454,1.29407,0.9,0.45
19.08.2024 00:00:31.876 GMT+0200,1.29454,1.29404,1.8,0.9
19.08.2024 00:00:32.081 GMT+0200,1.2945,1.29403,0.9,0.9
19.08.2024 00:00:33.292 GMT+0200,1.2943,1.29411,0.9,0.9
19.08.2024 00:00:33.396 GMT+0200,1.2944600000000002,1.2942,0.9,0.45
19.08.2024 00:00:33.499 GMT+0200,1.2944700000000002,1.2942,0.9,0.45
19.08.2024 00:00:33.601 GMT+0200,1.29451,1.29421,0.45,0.45
19.08.2024 00:00:33.704 GMT+0200,1.29451,1.2942200000000001,1.8,0.9
19.08.2024 00:00:33.757 GMT+0200,1.2945600000000002,1.29431,1.35,0.9
19.08.2024 00:00:33.861 GMT+0200,1.2945200000000001,1.29431,0.9,0.9
19.08.2024 00:00:33.912 GMT+0200,1.2946,1.2943200000000001,0.22,0.9
19.08.2024 00:00:34.066 GMT+0200,1.2946,1.29433,0.22,0.9
19.08.2024 00:00:34.120 GMT+0200,1.2946,1.29438,0.22,0.9
19.08.2024 00:00:34.879 GMT+0200,1.2946,1.29434,0.22,0.9
19.08.2024 00:00:35.992 GMT+0200,1.29455,1.2943200000000001,0.9,0.9
19.08.2024 00:00:37.305 GMT+0200,1.29454,1.2943200000000001,0.45,0.9
19.08.2024 00:00:37.911 GMT+0200,1.29453,1.2943200000000001,1.8,0.9
19.08.2024 00:00:38.920 GMT+0200,1.29458,1.2944200000000001,0.45,0.9
19.08.2024 00:00:38.972 GMT+0200,1.29461,1.29443,1.57,0.9
19.08.2024 00:00:39.225 GMT+0200,1.29461,1.2944200000000001,0.22,0.9
19.08.2024 00:00:42.096 GMT+0200,1.2946,1.2943700000000002,0.22,2.25
19.08.2024 00:00:42.505 GMT+0200,1.2946,1.2943500000000001,0.22,0.9
19.08.2024 00:00:42.961 GMT+0200,1.2946,1.29434,0.22,1.35
19.08.2024 00:00:47.341 GMT+0200,1.29461,1.29434,1.8,0.9
19.08.2024 00:00:55.236 GMT+0200,1.29461,1.2943500000000001,1.35,0.9
19.08.2024 00:00:55.289 GMT+0200,1.2946900000000001,1.2944200000000001,1.35,0.9
19.08.2024 00:00:55.392 GMT+0200,1.2947,1.2944200000000001,0.9,0.9
19.08.2024 00:00:55.594 GMT+0200,1.29471,1.29443,1.8,0.9
19.08.2024 00:00:57.560 GMT+0200,1.29471,1.29444,2.7,0.9
19.08.2024 00:01:00.285 GMT+0200,1.2947,1.29444,0.9,0.9
19.08.2024 00:01:00.337 GMT+0200,1.2947,1.2944200000000001,0.9,0.9
