,Capital Gains,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,,,,
2021-01-15,0.0,125.09813690185547,360.833984375,0.0,0.0,128.1286740464908,362.6395702645117,124.96038589590538,358.9131221303847,126.71179797744222,361.81361356814233,0.0,0.0,111598500,107160000
2021-01-19,0.0,125.77706146240234,363.66729736328125,0.0,0.0,126.64293353192642,364.2243639178516,124.90135539708241,361.842483798039,125.72786145595501,363.36956601205924,0.0,0.0,90757300,51233300
2021-01-20,0.0,129.90960693359375,368.6999816894531,0.0,0.0,130.36222597424978,369.5643639877484,126.4854996755842,365.6265898399179,126.59373368441058,366.0299545677718,0.0,0.0,104319500,61836100
2021-01-21,0.0,134.6719207763672,369.0360107421875,0.0,0.0,137.42695696115743,369.71793787884116,131.44459739278815,368.085193398723,131.65123148748663,369.2761185004385,0.0,0.0,120150900,47840100
2021-01-22,0.0,136.8365478515625,367.72991943359375,0.0,0.0,137.60401987763774,368.9304584887285,132.85158770772046,366.7310627329117,134.09134674667274,367.1248430602002,0.0,0.0,114459400,52860500
2021-01-25,0.0,140.62472534179688,369.1800537109375,0.0,0.0,142.75987367939632,369.54499283843876,134.3471823399822,363.4846761058928,140.77232537348837,368.4885422793145,0.0,0.0,157611700,70402000
2021-01-26,0.0,140.86087036132812,368.6038513183594,0.0,0.0,141.98256149103966,370.5823369925512,139.09960914910417,368.363743549064,141.2938064138018,370.1597449737888,0.0,0.0,98390600,42665300
2021-01-27,0.0,139.7785186767578,359.5950012207031,0.0,0.0,141.98254975547954,365.2711523739947,138.155023627906,357.28997250967853,141.1265117174861,365.175103404779,0.0,0.0,140843800,123351100
2021-01-28,0.0,134.88833618164062,362.6875915527344,0.0,0.0,139.70965137520562,366.8174334513461,134.5046001674396,361.01645086139393,137.27931828068807,361.46782532902836,0.0,0.0,142621100,94198100
2021-01-29,0.0,129.84072875976562,355.4267883300781,0.0,0.0,134.54396074974608,361.76564023891785,128.11883376303166,353.69799454946644,133.64857174814853,360.76678356412236,0.0,0.0,177523800,126765100
2021-02-01,0.0,131.98573303222656,361.3430480957031,0.0,0.0,133.20582424084392,362.4091126800346,128.82727849893377,355.7245196022395,131.60199696871769,358.9323563566704,0.0,0.0,106239800,75817600
2021-02-02,0.0,132.82208251953125,366.45257568359375,0.0,0.0,134.1208756738771,368.056508959963,132.4481804686472,361.4295384018097,133.5501886012721,364.6277619516442,0.0,0.0,83305400,64450700
2021-02-03,0.0,131.78895568847656,366.7406311035156,0.0,0.0,133.58956809572362,368.5174345475485,131.46425361368745,365.42484515129576,133.579719084716,367.30728195030946,0.0,0.0,89880900,52427100
2021-02-04,0.0,135.1835174560547,370.90887451171875,0.0,0.0,135.19335145121678,370.9568843408499,132.42848242362257,366.8558542540373,134.11102644779447,367.8066716270617,0.0,0.0,84183100,47142600
2021-02-05,0.0,134.7647247314453,372.3688049316406,0.205,0.0,135.41509922266007,373.09874208672926,133.87786136063966,370.86095009131236,135.34612831150267,372.8394361916494,0.0,0.0,75693800,48669800
2021-02-08,0.0,134.91253662109375,375.0580139160156,0.0,0.0,134.9618101465557,375.10602375413,132.95156458259123,372.98347891485577,134.04537068870366,373.8670592444021,0.0,0.0,71297200,38365200
2021-02-09,0.0,134.0256805419922,374.8082275390625,0.0,0.0,135.86840845452252,375.42291749673035,133.86802628495334,373.7709748730359,134.6267815657062,374.1935375813946,0.0,0.0,76774200,35551100
2021-02-10,0.0,133.41470336914062,374.64501953125,0.0,0.0,134.99136590442143,376.7579800640753,132.43914173386668,372.1671197336972,134.48879701526442,376.60430754259374,0.0,0.0,73046600,59154400
2021-02-11,0.0,133.1584930419922,375.25006103515625,0.0,0.0,134.40010455467555,376.1912941504528,131.8183344889924,372.7433497047722,133.91724811499282,375.7590883920944,0.0,0.0,64280000,42913300
2021-02-12,0.0,133.39498901367188,377.10369873046875,0.0,0.0,133.55265827214197,377.353390897273,131.7395069082401,374.34723672470386,132.38988132230318,374.4240876298994,0.0,0.0,60145100,50593300
2021-02-16,0.0,131.246826171875,376.77716064453125,0.0,0.0,134.02567594763306,378.57319166906274,130.85265295236155,376.0376391473961,133.51327331652192,378.371480007088,0.0,0.0,80576300,50972400
2021-02-17,0.0,128.9311065673828,376.86358642578125,0.0,0.0,130.29097787271303,377.1228922801341,127.58109899022926,373.9246401929549,129.3351284821796,374.9715359209729,0.0,0.0,97918500,52290600
2021-02-18,0.0,127.81758880615234,375.2596130371094,0.0,0.0,128.1033512044632,376.0279461367356,125.55114189299337,372.3975180174481,127.31501988212493,374.17432128411633,0.0,0.0,96856700,59712800
2021-02-19,0.0,127.97525024414062,374.5969543457031,0.0,0.0,128.8030064490751,376.85397337456226,126.9208688821559,374.1359368493727,128.33986233499195,376.5562420675672,0.0,0.0,87668800,83241000
2021-02-22,0.0,124.16171264648438,371.7156677246094,0.0,0.0,127.82744060370273,374.2031808920119,123.76754697573571,371.43713448361643,126.14238217330005,371.74447948677874,0.0,0.0,103916400,67414200
2021-02-23,0.0,124.02375030517578,372.1671142578125,0.0,0.0,124.86134761967558,373.55975131259805,116.66273360659771,365.155977764841,121.95439002285727,369.43949298923053,0.0,0.0,158273000,107284100
2021-02-24,0.0,123.52118682861328,376.26806640625,0.0,0.0,123.728122101551,376.70988579775457,120.44671132429932,370.02526450659946,123.11717249137803,371.0433190869709,0.0,0.0,111039900,72433900
2021-02-25,0.0,119.22480010986328,367.20166015625,0.0,0.0,124.61499610667079,376.3737960109211,118.78136844483728,365.7130034701691,122.86096682818098,374.96196092701024,0.0,0.0,148199500,146670500
2021-02-26,0.0,119.4908676147461,365.3095703125,0.0,0.0,123.02848735407596,370.32302198040674,119.43173787824773,363.26387662728956,120.80145773745129,369.1417104496564,0.0,0.0,164560400,152701600
2021-03-01,0.0,125.92559814453125,374.16473388671875,0.0,0.0,126.06355500152355,375.45173734957376,120.99854605742111,365.511269633249,121.94453915597607,370.33262318875654,0.0,0.0,116307900,105348800
2021-03-02,0.0,123.2945556640625,371.24505615234375,0.0,0.0,126.84203170717815,374.63537685930226,123.18615991535444,370.72641513679423,126.53655687977447,374.3952690774779,0.0,0.0,102260900,79595300
2021-03-03,0.0,120.2791976928711,366.32769775390625,0.0,0.0,123.87594735608259,371.52360498786703,120.06240618994711,366.2220350759138,122.98907644325048,370.524777597957,0.0,0.0,112966300,119940200
2021-03-04,0.0,118.37735748291016,361.7944030761719,0.0,0.0,121.79673302907601,368.8055383042986,116.8893930808477,357.1651181911741,119.97372515659694,366.135541048351,0.0,0.0,178155000,183433000
2021-03-05,0.0,119.64852905273438,368.4501647949219,0.0,0.0,120.16094667124328,369.5354565604044,115.85470051352692,357.895037037939,119.2149535887092,365.40558549980744,0.0,0.0,153766600,152039600
2021-03-08,0.0,114.66236114501953,366.6158142089844,0.0,0.0,119.23466505476365,372.33997619419483,114.5145480731528,366.32769656091693,119.1656866236372,369.43948440018653,0.0,0.0,154376600,123149200
2021-03-09,0.0,119.3233413696289,371.85015869140625,0.0,0.0,120.27919065765715,374.4817307866853,117.05690196727375,370.0637414273596,117.29339835750109,370.5823824795066,0.0,0.0,129525800,113633600
2021-03-10,0.0,118.22954559326172,374.16473388671875,0.0,0.0,120.38758930247441,375.91272551773096,117.70727175505651,372.8105518327258,119.91459651062705,374.27039654860874,0.0,0.0,111943300,109899400
2021-03-11,0.0,120.1806640625,377.9584655761719,0.0,0.0,121.41242719144257,379.9945749045754,119.49087971752634,376.2392856277422,120.75220395866988,376.7099168174436,0.0,0.0,103026500,86245000
